name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	ind.region
GRID1	1.43692	18.8828	40.4514758097883	-999	GRID	R	grid	10.6483	27.6921	38.0568	superiorfrontal
GRID2	0.559613	18.5296	49.3384962381704	-999	GRID	R	grid	12.0801	27.7087	49.8086	superiorfrontal
GRID3	-2.64496	18.986	62.898872389351	-999	GRID	L	grid	9.16302	28.9087	62.0395	superiorfrontal
GRID4	-9.53419	16.0255	69.0120240520311	-999	GRID	L	grid	3.37361	27.66	70.316	superiorfrontal
GRID5	-20.1716	9.07735	68.5846235136155	-999	GRID	L	grid	-4.3831	20.2363	74.7622	superiorfrontal
GRID6	-27.9258	-0.177146	68.553724939731	-999	GRID	L	grid	-12.1191	12.9224	74.7211	superiorfrontal
GRID7	-31.8443	-13.2001	69.5665225233837	-999	GRID	L	grid	-18.3153	3.44842	74.6226	precentral
GRID8	-39.7494	-19.57	68.1172591983214	-999	GRID	L	grid	-25.8267	-6.65403	73.2386	precentral
GRID9	0.173287	28.8469	40.0666753334156	-999	GRID	R	grid	11.2084	38.2479	37.313	superiorfrontal
GRID10	-1.07756	27.9055	48.0250853358111	-999	GRID	L	grid	9.15067	38.2257	48.0196	superiorfrontal
GRID11	-3.41082	28.331	60.8949123758741	-999	GRID	L	grid	4.64844	37.0793	57.6184	superiorfrontal
GRID12	-16.3764	25.0963	62.9777893289522	-999	GRID	L	grid	-3.64161	33.6501	64.8606	superiorfrontal
GRID13	-28.6445	17.4527	61.6882659748003	-999	GRID	L	grid	-12.3487	25.4456	66.4923	superiorfrontal
GRID14	-34.9256	5.7797	61.2836390083935	-999	GRID	L	grid	-18.517	16.5011	66.3562	caudalmiddlefrontal
GRID15	-39.1286	-5.62189	63.4016958173316	-999	GRID	L	grid	-24.6571	8.0828	66.1831	precentral
GRID16	-48.7804	-14.7532	60.5491884355088	-999	GRID	L	grid	-32.4771	-0.814841	66.2546	precentral
GRID17	0.150935	42.1363	40.1283689689392	-999	GRID	R	grid	9.59432	49.3938	36.8078	superiorfrontal
GRID18	-2.83697	39.7461	49.2967282608078	-999	GRID	L	grid	5.09197	48.2474	46.4066	superiorfrontal
GRID19	-12.2099	38.3448	56.1646004757091	-999	GRID	L	grid	-2.0687	45.3136	53.4728	superiorfrontal
GRID20	-24.3235	32.024	55.1706929212247	-999	GRID	L	grid	-11.4493	38.4655	58.0879	superiorfrontal
GRID21	-34.5843	22.6654	54.2786804253578	-999	GRID	L	grid	-18.5046	30.2133	59.5127	caudalmiddlefrontal
GRID22	-41.5077	13.9736	55.2262424615414	-999	GRID	L	grid	-24.8589	21.1345	57.9173	caudalmiddlefrontal
GRID23	-46.1084	2.89573	54.231220928235	-999	GRID	L	grid	-30.9992	12.7172	57.7437	caudalmiddlefrontal
GRID24	-52.1081	-7.70968	54.438650309061	-999	GRID	L	grid	-37.7459	3.2592	57.7136	precentral
GRID25	-1.97805	50.192	38.9104882806317	-999	GRID	L	grid	6.60871	58.856	35.0927	superiorfrontal
GRID26	-9.72332	49.4316	46.1694574449666	-999	GRID	L	grid	-0.337983	56.5841	43.5816	superiorfrontal
GRID27	-22.5515	43.955	47.1658147757305	-999	GRID	L	grid	-9.84846	50.6576	46.6631	superiorfrontal
GRID28	-28.9467	35.3027	47.8782253808378	-999	GRID	L	grid	-16.9319	41.8782	48.1253	superiorfrontal
GRID29	-38.0193	28.1246	48.1428865057514	-999	GRID	L	grid	-23.9313	34.6817	49.4755	caudalmiddlefrontal
GRID30	-44.8238	20.6485	48.5832196149456	-999	GRID	L	grid	-31.2288	25.2403	49.515	rostralmiddlefrontal
GRID31	-49.9335	14.2274	45.6082272441527	-999	GRID	L	grid	-35.9872	15.0576	47.7861	caudalmiddlefrontal
GRID32	-54.6017	3.66994	46.4043337132936	-999	GRID	L	grid	-42.1272	6.6393	47.6131	precentral
GRID33	-5.47611	58.265	34.3007692856185	-999	GRID	L	grid	2.30799	67.6885	32.0944	superiorfrontal
GRID34	-17.2187	55.0627	39.0213793798235	-999	GRID	L	grid	-6.49384	61.3521	36.6033	superiorfrontal
GRID35	-27.0774	49.7164	38.1572654274471	-999	GRID	L	grid	-15.1451	54.2036	38.1602	rostralmiddlefrontal
GRID36	-33.34	41.6269	42.1970280512857	-999	GRID	L	grid	-23.2457	47.0397	39.6484	rostralmiddlefrontal
GRID37	-39.9663	32.554	42.6683090037918	-999	GRID	L	grid	-29.4139	38.0944	39.5129	caudalmiddlefrontal
